Time,Open,High,Low,Last,Change,%Chg,Volume
"2023-06-07 23:29",14290,14291.75,14289.25,14290.75,0.75,+0.01%,115
"2023-06-07 23:30",14290.75,14292,14286.5,14287.25,-3.5,-0.02%,297
"2023-06-07 23:31",14287.5,14288,14282.5,14285,-2.25,-0.02%,646
"2023-06-07 23:32",14284,14286.75,14283,14283,-2.,-0.01%,407
"2023-06-07 23:33",14283.25,14283.75,14278.5,14279.5,-3.5,-0.02%,699
"2023-06-07 23:34",14279.75,14283,14279.25,14282,2.5,+0.02%,426
"2023-06-07 23:35",14282.25,14284.25,14281.5,14281.75,-0.25,0.00%,317
"2023-06-07 23:36",14281.75,14283.25,14276.75,14281,-0.75,-0.01%,537
"2023-06-07 23:37",14280.75,14281.5,14275.5,14279.75,-1.25,-0.01%,644
"2023-06-07 23:38",14279.25,14280.5,14278.5,14279,-0.75,-0.01%,203
"2023-06-07 23:39",14279,14279.25,14271.5,14272.75,-6.25,-0.04%,671
"2023-06-07 23:40",14272.25,14275.25,14268.75,14275.25,2.5,+0.02%,917
"2023-06-07 23:41",14275.5,14276.75,14272.75,14273,-2.25,-0.02%,226
"2023-06-07 23:42",14272.5,14273,14268.25,14270.25,-2.75,-0.02%,464
"2023-06-07 23:43",14270,14270,14268.5,14269.25,-1.,-0.01%,189
"2023-06-07 23:44",14269,14272.5,14266.75,14267.25,-2.,-0.01%,458
"2023-06-07 23:45",14267.5,14269.5,14264.75,14266.5,-0.75,-0.01%,716
"2023-06-07 23:46",14266.25,14267.5,14265.25,14266.5,0,0.00%,255
"2023-06-07 23:47",14266.5,14266.75,14264,14265.25,-1.25,-0.01%,275
"2023-06-07 23:48",14265.25,14266,14260.25,14263.25,-2.,-0.01%,722
"2023-06-07 23:49",14263.25,14268.25,14261,14268,4.75,+0.03%,482
"2023-06-07 23:50",14267.75,14269,14267.5,14267.5,-0.5,0.00%,232
"2023-06-07 23:51",14268,14268.5,14266.5,14268.25,0.75,+0.01%,222
"2023-06-07 23:52",14268,14268.25,14264.5,14264.5,-3.75,-0.03%,307
"2023-06-07 23:53",14264.75,14269.25,14264.75,14269.25,4.75,+0.03%,217
"2023-06-07 23:54",14269.25,14269.75,14268.25,14268.25,-1.,-0.01%,181
"2023-06-07 23:55",14268.5,14271,14267.5,14270.75,2.5,+0.02%,248
"2023-06-07 23:56",14271,14273.75,14270.5,14273,2.25,+0.02%,249
"2023-06-07 23:57",14273,14273.25,14271.5,14272.25,-0.75,-0.01%,190
"2023-06-07 23:58",14272.5,14272.75,14268.75,14269.75,-2.5,-0.02%,161
"2023-06-07 23:59",14270,14271.75,14269.5,14271.75,2,+0.01%,100
